PCA_Component_1,PCA_Component_2,PCA_Component_3,PCA_Component_4,PCA_Component_5,PCA_Component_6,PCA_Component_7,PCA_Component_8,PCA_Component_9,PCA_Component_10,Energy_Consumption_kWh
0.2558252721717116,2.0359336150659946,-3.2102881106974555,3.6865525580018956,2.698686236189383,0.46052534402159373,0.7374412146085838,-1.5033588908981046,0.08908900298238528,-0.009640633973440144,251.29
-3.6904815657000123,1.5721271490976667,0.09605263224150296,0.9061776247316518,-0.28716888298091103,-1.9151118378318701,-1.651047809728156,-1.2698545691891518,0.9581086119596585,0.3135421315614091,334.71
4.923637371552415,-2.6139024929751735,-1.7843962194092202,-0.983156804848077,2.6146164428192287,-0.027273913404992856,-0.7181700736206448,1.1624651209651646,-0.29852013050151105,-0.3341492674641011,284.8
-1.58229283490921,2.1755436917407467,0.281058840603035,-1.5985864921459105,0.04998239887387368,0.83346383643578,2.5496244014763607,-2.946447461958579,1.7026259733426359,1.4299388116150817,149.68
-1.3686574082171639,4.25172147507516,-0.9177438694202182,0.7159247769534587,-1.013165732083094,0.535019955315277,-0.10691729207004586,-0.045316075592602145,-1.6604515871925072,-1.2503371718014018,238.69
5.5410628871066905,2.347432379445893,3.357733503351973,-1.7891328345243322,-1.26322328508701,0.12307221630603782,-0.06167753479107585,-0.472747600998973,-0.520391577271571,-1.0834398181093923,188.19
-2.566446606049663,2.336226472302469,-0.8101939163998759,-0.43631441502645396,-0.43885529596493794,1.229788781875791,0.18491738738046837,-0.07013713969703361,-0.37862898606200013,1.5695912053176364,183.94
-3.7315440907347766,2.5728649665984378,3.362007808706755,0.642867190499075,2.8940883612555433,0.3571457829420013,-1.358561064627723,1.192484796575958,-0.7550209210491678,3.24358925707381,247.82
2.376918317543728,1.658287135564331,0.2881343504610294,-0.735646829196205,2.313600661086866,0.2981472313068825,-0.8779122901553709,0.9847546710638081,-0.9611351439940954,-1.0468057376883941,246.95
-0.8720151330765318,0.9821252333756743,-0.989953319864675,1.7501015229560752,2.6576961885618706,0.12021865666978582,2.266938209770413,0.049701168074557156,-0.5207267254515772,0.3863455127865319,307.07
1.6281868650070628,-4.22533399426879,-1.7660415131858276,0.5679539801109272,-1.8276417330730172,0.47334183959859133,0.16619539877934364,-0.09455232580063966,-0.6730262357533007,1.8666624746794125,277.85
